Unnamed: 0,nu_e,nu_mu,nu_tau
10476.157527896665,0.0,0.0,0.0
11768.119524349991,0.0,0.0,0.0
13219.411484660288,6.502339926260958,0.0,0.0
14849.682622544637,16.550299958049084,0.0,1.6386538301005245
16681.005372000593,52.14048978119189,2.306889441464569,9.095542641133164
18738.17422860383,220.6614132591116,12.09858628907234,25.57627376411443
21049.04144512022,431.36466058109306,41.13050127791918,96.79128508004864
23644.894126454077,936.3171614388012,69.64184177629545,164.93668027973644
26560.87782946684,1581.80185630313,139.07242070439654,469.11359298595806
29836.4724028334,2590.6960170538914,307.0865687931638,784.0526432930969
33516.02650938841,3902.205836902173,540.8176247596608,1311.413985319612
37649.35806792471,5537.046550762906,823.7426695815861,2263.4012857964112
42292.42874389499,7746.781426928559,1296.7245000192236,3416.98482769476
47508.101621027934,10922.958929791312,2169.2461436597205,5070.0562308988965
53366.99231206302,16160.331450599066,2910.944497047742,6878.9985688954375
59948.42503189409,21149.261582213097,4523.674994271977,9611.266637819708
67341.50657750828,28269.413325943497,6542.749713366703,14256.60721311512
75646.3327554629,34409.509304186344,8911.181398606428,17512.501140790602
84975.34359086439,42210.90935729469,12357.20070365256,24315.35328003744
95454.84566618328,51637.77288336692,16503.956414162723,29693.24601661657
